spliced	intron
105850221	105850221-I
105848976	105848976-I
124807624	124807624-I
124814372	124814372-I
100199021	100199021-I
100204907	100204907-I
124813335	124813335-I
124814383	124814383-I
124813344	124813344-I
124813347	124813347-I
124807652	124807652-I
124813353	124813353-I
124813357	124813357-I
100201810	100201810-I
124807684	124807684-I
100206372	100206372-I
124807693	124807693-I
124814386	124814386-I
124814389	124814389-I
124807702	124807702-I
124807707	124807707-I
105849204	105849204-I
124814399	124814399-I
100206174	100206174-I
124813370	124813370-I
105845827	105845827-I
105844984	105844984-I
124807735	124807735-I
100197145	100197145-I
124807750	124807750-I
100205080	100205080-I
124807782	124807782-I
124813388	124813388-I
124813391	124813391-I
100207146	100207146-I
100210651	100210651-I
124815627	124815627-I
100202755	100202755-I
101236192	101236192-I
100206073	100206073-I
100212090	100212090-I
100206351	100206351-I
101238725	101238725-I
100200207	100200207-I
124807833	124807833-I
100203177	100203177-I
100213163	100213163-I
105844981	105844981-I
101234937	101234937-I
100206548	100206548-I
101237217	101237217-I
124807853	124807853-I
124807863	124807863-I
124807865	124807865-I
124813405	124813405-I
124814433	124814433-I
105847405	105847405-I
124814439	124814439-I
124813417	124813417-I
105847963	105847963-I
100197853	100197853-I
124814450	124814450-I
105846419	105846419-I
124813421	124813421-I
124813423	124813423-I
124807931	124807931-I
124814453	124814453-I
124813427	124813427-I
100207984	100207984-I
124807984	124807984-I
100197695	100197695-I
101235748	101235748-I
100206476	100206476-I
101235468	101235468-I
124814461	124814461-I
124808004	124808004-I
124815550	124815550-I
124813431	124813431-I
124815533	124815533-I
105848182	105848182-I
105850165	105850165-I
124808019	124808019-I
100211256	100211256-I
124808036	124808036-I
124808034	124808034-I
105845697	105845697-I
124814474	124814474-I
105845696	105845696-I
100215342	100215342-I
124808040	124808040-I
100207339	100207339-I
101238285	101238285-I
100210512	100210512-I
124808069	124808069-I
124808071	124808071-I
100213943	100213943-I
100208888	100208888-I
100211584	100211584-I
100205745	100205745-I
124813435	124813435-I
101237923	101237923-I
124814503	124814503-I
100215572	100215572-I
100208057	100208057-I
101234974	101234974-I
124808369	124808369-I
124808383	124808383-I
100201099	100201099-I
100215371	100215371-I
100205254	100205254-I
100201638	100201638-I
124808391	124808391-I
100208711	100208711-I
100201569	100201569-I
124813444	124813444-I
101238628	101238628-I
100214908	100214908-I
100204072	100204072-I
101234468	101234468-I
100212209	100212209-I
124808460	124808460-I
124813449	124813449-I
100205732	100205732-I
100197394	100197394-I
100200949	100200949-I
100208113	100208113-I
100215239	100215239-I
105843786	105843786-I
100197663	100197663-I
100210956	100210956-I
105847733	105847733-I
124813461	124813461-I
124808596	124808596-I
105846676	105846676-I
100213324	100213324-I
100202593	100202593-I
124808638	124808638-I
100209013	100209013-I
100212923	100212923-I
100209435	100209435-I
100201052	100201052-I
124814543	124814543-I
100199843	100199843-I
100203709	100203709-I
100210822	100210822-I
100207299	100207299-I
124808695	124808695-I
105849156	105849156-I
124808757	124808757-I
105849185	105849185-I
100202981	100202981-I
100211542	100211542-I
105844349	105844349-I
100212273	100212273-I
100207157	100207157-I
100209415	100209415-I
101234717	101234717-I
100211709	100211709-I
100205021	100205021-I
124808932	124808932-I
100201665	100201665-I
100200818	100200818-I
124808962	124808962-I
100206370	100206370-I
100202758	100202758-I
100199179	100199179-I
124814565	124814565-I
124808979	124808979-I
100207813	100207813-I
105846574	105846574-I
100207952	100207952-I
124808992	124808992-I
105843793	105843793-I
100202785	100202785-I
100201314	100201314-I
100197662	100197662-I
100210793	100210793-I
124809020	124809020-I
100199364	100199364-I
100200571	100200571-I
124809057	124809057-I
124809059	124809059-I
124809074	124809074-I
100213166	100213166-I
101239697	101239697-I
101239857	101239857-I
100207815	100207815-I
